"id","default_code","name","active","uom_id/id","uom_po_id/id","type","lst_price","list_price","price","weight","sale_ok","rental","purchase_ok","pallet_description","etiquette","etiq_description","etiq_spanish","etiq_format","etiq_printer/id","etiq_latin","etiq_marenne_oleron","etiq_mention","etiq_modele","etiq_model_supple","description_sale","categ_id/id","barcode","family_id/id","caliber_id/id","packaging_id/id"
"hubi.product_template_51_cf88e8c5","","Assiette plastique pour 12 huîtres ARGENT","True","product.product_uom_unit","product.product_uom_unit","Consommable","10.0","10.0","0.0","0.0","True","False","True","","False","","","","","","False","","","False","","__export__.product_category_6","","","",""
"hubi.product_template_50_189e9a2c","D","Assiette plastique pour 12 huîtres ROUGE","True","product.product_uom_unit","product.product_uom_unit","Consommable","10.0","10.0","0.0","0.0","True","False","True","","False","","","","","","False","","","False","","__export__.product_category_6","","","",""
"hubi.product_template_52_43eaafa4","","Assiette plastique pour 9 huîtres OR","True","product.product_uom_unit","product.product_uom_unit","Consommable","10.0","10.0","0.0","0.0","True","False","True","","False","","","","","","False","","","False","","__export__.product_category_6","","","",""
"hubi.product_template_43_e397b493","CASTD","Caviar 100g","True","product.product_uom_gram","product.product_uom_gram","Consommable","100.0","100.0","0.0","0.1","True","False","True","","False","","","","","","False","","","False","","__export__.product_category_7","","","__export__.hubi_family_24",""
"hubi.product_template_41_b577c40b","CASTD","Caviar 30 g","True","product.product_uom_gram","product.product_uom_gram","Consommable","30.0","30.0","0.0","0.03","True","False","True","","False","","","","","","False","","","False","","__export__.product_category_7","","","__export__.hubi_family_24",""
"hubi.product_template_42_679f7301","CASTD","Caviar 50 g","True","product.product_uom_unit","product.product_uom_unit","Consommable","50.0","50.0","0.0","0.05","True","False","True","","False","","","","","","False","","","False","","__export__.product_category_7","","","__export__.hubi_family_24",""
"delivery.product_product_delivery_product_template","Delivery","Frais de livraison gratuit","True","product.product_uom_unit","product.product_uom_unit","Service","0.0","0.0","0.0","0.0","False","False","False","","False","","","","","","False","","","False","","product.product_category_all","","","",""
"hubi.product_template_2_bb78a2c7","HF2","Huîtres / Fines No 2","True","product.product_uom_kgm","product.product_uom_kgm","Produit stockable","0.0","0.0","0.0","0.0","False","False","True","HF2","False","","","","","","False","","","False","","product.product_category_1","","","__export__.hubi_family_15",""
"hubi.product_template_3_9510612f","HF2DZ1","Huîtres / Fines No 2 x 1 Douzaine","True","product.product_uom_unit","product.product_uom_unit","Consommable","8.0","8.0","0.0","1.0","True","False","False","Huîtres / Fines No 2 x 1 Douzaine","False","","","","","","False","","","False","","product.product_category_1","","","__export__.hubi_family_15","__export__.hubi_family_1"
"hubi.product_template_4_756aee8f","HF2KG1","Huîtres / Fines No 2 x 1 Kg","True","product.product_uom_unit","product.product_uom_unit","Consommable","8.0","8.0","0.0","1.0","True","False","False","Huîtres / Fines No 2 x 1 Kg","False","","","","","","False","","","False","","product.product_category_1","","","__export__.hubi_family_15","__export__.hubi_family_5"
