"id","color","name","active","parent_id/id"
"__export__.res_partner_category_1_ddc2ebe9","0","GMS","True",""
"__export__.res_partner_category_2_e4d4f188","0","AUCHAN","True","__export__.res_partner_category_1_ddc2ebe9"
"__export__.res_partner_category_3_42dd919f","0","CARREFOUR","True","__export__.res_partner_category_1_ddc2ebe9"
"__export__.res_partner_category_6_0c8bd7e1","0","INTERMARCHE","True","__export__.res_partner_category_1_ddc2ebe9"
"__export__.res_partner_category_4_7a0c36ba","0","LECLERC","True","__export__.res_partner_category_1_ddc2ebe9"
"__export__.res_partner_category_5_b6acba1b","0","SUPER U","True","__export__.res_partner_category_1_ddc2ebe9"
"__export__.res_partner_category_7_89177b5e","0","POISSONNIER","True",""
"__export__.res_partner_category_8_b383f1fc","6","RESTAURANT","True",""
"__export__.res_partner_category_9_7ff292fd","0","C","True",""
"__export__.res_partner_category_10_19f16da3","0","CE","True",""
