"id","product_tmpl_id/id","product_qty","ready_to_produce","type","product_uom_id/id","bom_line_ids/product_id/id","bom_line_ids/id","bom_line_ids/product_qty","bom_line_ids/sequence"
"__export__.mrp_bom_1_93c23236","__export__.product_template_3_9510612f","1.0","Les composants de 1ère opération","Kit","product.product_uom_unit","__export__.product_product_2_0dbd5d3a","__export__.mrp_bom_line_1_18cb663e","1.0","1"
"__export__.mrp_bom_2_a6ba4081","__export__.product_template_4_756aee8f","1.0","Les composants de 1ère opération","Kit","product.product_uom_unit","__export__.product_product_2_0dbd5d3a","__export__.mrp_bom_line_2_f4786d36","1.0","1"
"__export__.mrp_bom_3_aa58aedb","__export__.product_template_5_04629cbc","1.0","Les composants de 1ère opération","Kit","product.product_uom_unit","__export__.product_product_2_0dbd5d3a","__export__.mrp_bom_line_3_75a12e00","10.0","1"
"__export__.mrp_bom_4_89b15462","__export__.product_template_6_4bebfab4","1.0","Les composants de 1ère opération","Kit","product.product_uom_unit","__export__.product_product_2_0dbd5d3a","__export__.mrp_bom_line_4_60feda4c","2.0","1"
"__export__.mrp_bom_5_9d592ba7","__export__.product_template_7_83dd8ea3","1.0","Les composants de 1ère opération","Kit","product.product_uom_unit","__export__.product_product_2_0dbd5d3a","__export__.mrp_bom_line_5_2ba77a26","13.0","1"
"__export__.mrp_bom_6_386406ca","__export__.product_template_8_1cbaf379","1.0","Les composants de 1ère opération","Kit","product.product_uom_unit","__export__.product_product_2_0dbd5d3a","__export__.mrp_bom_line_6_ac024146","2.0","1"
"__export__.mrp_bom_7_eb0da392","__export__.product_template_10_636669f1","1.0","Les composants de 1ère opération","Kit","product.product_uom_unit","__export__.product_product_9_4eafd448","__export__.mrp_bom_line_7_ddf2e42a","1.0","1"
"__export__.mrp_bom_8_5a2c609e","__export__.product_template_11_83b92179","1.0","Les composants de 1ère opération","Kit","product.product_uom_unit","__export__.product_product_9_4eafd448","__export__.mrp_bom_line_8_da036ee4","1.0","1"
"__export__.mrp_bom_9_29cf2211","__export__.product_template_12_3b0465e7","1.0","Les composants de 1ère opération","Kit","product.product_uom_unit","__export__.product_product_9_4eafd448","__export__.mrp_bom_line_9_213d1faa","10.0","1"
"__export__.mrp_bom_10_54332626","__export__.product_template_13_8cc53d73","1.0","Les composants de 1ère opération","Kit","product.product_uom_unit","__export__.product_product_9_4eafd448","__export__.mrp_bom_line_10_0bfd7e87","13.0","1"
"__export__.mrp_bom_11_78949662","__export__.product_template_14_4d9e1ee7","1.0","Les composants de 1ère opération","Kit","product.product_uom_unit","__export__.product_product_9_4eafd448","__export__.mrp_bom_line_11_7970746a","2.0","1"
"__export__.mrp_bom_12_0112a95e","__export__.product_template_15_95946545","1.0","Les composants de 1ère opération","Kit","product.product_uom_unit","__export__.product_product_9_4eafd448","__export__.mrp_bom_line_12_adcc6d9b","2.0","1"
"__export__.mrp_bom_13_500fc34f","__export__.product_template_16_77701c3c","1.0","Les composants de 1ère opération","Kit","product.product_uom_unit","__export__.product_product_9_4eafd448","__export__.mrp_bom_line_13_5b9e58df","3.0","1"
"__export__.mrp_bom_14_66fe0edf","__export__.product_template_17_c16eb35f","1.0","Les composants de 1ère opération","Kit","product.product_uom_unit","__export__.product_product_9_4eafd448","__export__.mrp_bom_line_14_64bd0aad","3.0","1"
"__export__.mrp_bom_15_a27132ec","__export__.product_template_18_045d1718","1.0","Les composants de 1ère opération","Kit","product.product_uom_unit","__export__.product_product_2_0dbd5d3a","__export__.mrp_bom_line_15_2afbdd40","3.0","1"
"__export__.mrp_bom_16_667a8f1f","__export__.product_template_19_234627f0","1.0","Les composants de 1ère opération","Kit","product.product_uom_unit","__export__.product_product_2_0dbd5d3a","__export__.mrp_bom_line_16_3f56ca30","3.0","1"
"__export__.mrp_bom_17_411f6203","__export__.product_template_20_26c534d9","1.0","Les composants de 1ère opération","Kit","product.product_uom_unit","__export__.product_product_2_0dbd5d3a","__export__.mrp_bom_line_17_bab951ad","4.0","1"
"__export__.mrp_bom_18_c6231df0","__export__.product_template_21_7261499c","1.0","Les composants de 1ère opération","Kit","product.product_uom_unit","__export__.product_product_2_0dbd5d3a","__export__.mrp_bom_line_18_340755c5","4.0","1"
"__export__.mrp_bom_19_434327ef","__export__.product_template_22_e9c6d6ee","1.0","Les composants de 1ère opération","Kit","product.product_uom_unit","__export__.product_product_2_0dbd5d3a","__export__.mrp_bom_line_19_5779e9b9","5.0","1"
"__export__.mrp_bom_20_875638a2","__export__.product_template_23_1d467657","1.0","Les composants de 1ère opération","Kit","product.product_uom_unit","__export__.product_product_2_0dbd5d3a","__export__.mrp_bom_line_20_abaec738","8.0","1"
"__export__.mrp_bom_21_bb64adf1","__export__.product_template_24_01bcc43a","1.0","Les composants de 1ère opération","Kit","product.product_uom_unit","__export__.product_product_9_4eafd448","__export__.mrp_bom_line_21_ce5ce6c9","4.0","1"
"__export__.mrp_bom_22_4c000ccb","__export__.product_template_26_a741d9f6","1.0","Les composants de 1ère opération","Kit","product.product_uom_unit","__export__.product_product_25_42337de3","__export__.mrp_bom_line_22_122808eb","4.0","1"
